rank,content_hash_id,model_score,reason_code,recommended_action,action_reason,gsc_impressions,gsc_clicks,ctr,peer_median_ctr,gsc_avg_position,ga4_pageviews,ga4_engaged_sessions
1,content_a4c97a728f264492,0.9187645154820516,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,10813.0,78.0,0.7213539258300194,0.7502206531332745,4.125034680477204,93.0,5.0
2,content_7d85af9ae830df6c,0.9034971507661576,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,10192.0,73.0,0.716248037676609,0.7502206531332745,4.820741758241758,84.0,11.0
3,content_9d82eac28dba686f,0.9002943655828959,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,149.0,1.0,0.6711409395973155,0.7502206531332745,5.10738255033557,3.0,0.0
4,content_9206a47f6a5a9d1f,0.8913900113288128,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,1786.0,13.0,0.7278835386338186,0.7502206531332745,8.329227323628219,17.0,1.0
5,content_9489c3425cacc5d8,0.8852176851057559,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,1796.0,13.0,0.7238307349665924,0.7502206531332745,6.128619153674833,20.0,2.0
6,content_1d00260ae6e4f9ed,0.8847577550855852,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,9760.0,65.0,0.6659836065573771,0.7502206531332745,5.555737704918033,81.0,2.0
7,content_9e5756c79cdca7df,0.8765065547197897,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,89.0,9.0,10.112359550561798,10.611735330836456,42.056179775280896,21.0,1.0
8,content_369b08251e576487,0.8760406470283908,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,1552.0,21.0,1.3530927835051547,33.333333333333336,7.446520618556701,39.0,2.0
9,content_96c3f5ee733e3ca2,0.8760258182561848,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,148.0,1.0,0.6756756756756757,0.7502206531332745,4.8108108108108105,2.0,0.0
10,content_47c440ee3423478c,0.8722905878678934,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,158.0,1.0,0.6329113924050633,0.7502206531332745,4.537974683544304,3.0,0.0
11,content_811f1c914679a229,0.8710085938027113,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,831.0,4.0,0.4813477737665463,0.5347593582887701,16.499398315282793,12.0,3.0
12,content_5fbdd685e44e566c,0.8701649269481109,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,184.0,5.0,2.717391304347826,33.333333333333336,9.255434782608695,10.0,0.0
13,content_8d495cf34f7eb996,0.8673334458815686,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,137.0,1.0,0.7299270072992701,0.7502206531332745,5.0510948905109485,4.0,0.0
14,content_358edbe1bd716c0c,0.8655567257710594,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2035.0,15.0,0.7371007371007371,0.7502206531332745,6.908599508599509,24.0,1.0
15,content_7c5c3600c163f73b,0.8645112891070397,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2182.0,14.0,0.6416131989000916,0.7502206531332745,8.00045829514207,20.0,1.0
16,content_bf5762e2e666f20d,0.860740481867753,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,92.0,2.0,2.1739130434782608,10.611735330836456,43.17391304347826,5.0,1.0
17,content_eb90d454afa7daaa,0.8606778516763224,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,82.0,4.0,4.878048780487805,7.142857142857143,13.560975609756095,8.0,1.0
18,content_25bd05612df7f809,0.8604110227124007,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,230.0,1.0,0.4347826086956521,0.7502206531332745,8.273913043478261,3.0,0.0
19,content_b937a1aa3931b308,0.8602686961642783,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2588.0,19.0,0.7341576506955177,0.7502206531332745,9.17387944358578,28.0,1.0
20,content_bca91de43eb8dfba,0.8572339444244335,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,160.0,1.0,0.625,0.7502206531332745,4.9875,2.0,0.0
21,content_7dcb0f0a8b1bd7a0,0.8498801127388578,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,326.0,4.0,1.2269938650306749,33.333333333333336,8.343558282208589,7.0,0.0
22,content_701b37a6339328c1,0.8450986259495643,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2257.0,14.0,0.6202924235711121,0.7502206531332745,5.25254762959681,34.0,1.0
23,content_7260a859cb52532d,0.8433949869308877,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2270.0,14.0,0.6167400881057269,0.7502206531332745,8.216740088105727,17.0,1.0
24,content_410bdadcf0e9d22e,0.841224381343372,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,30.0,2.0,6.666666666666667,7.142857142857143,12.933333333333334,5.0,0.0
25,content_d821af727371f868,0.8388696499190604,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,136.0,2.0,1.4705882352941178,7.536764705882353,30.110294117647054,7.0,0.0
26,content_a001adaea0fca965,0.8384167026195328,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,9152.0,62.0,0.6774475524475524,0.7502206531332745,5.528409090909091,82.0,1.0
27,content_c1a10050d6a3c045,0.8298842872987017,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,233.0,5.0,2.145922746781116,33.333333333333336,4.060085836909871,7.0,1.0
28,content_44c57c5ddfb25b24,0.8294187181621717,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2149.0,14.0,0.6514657980456026,0.7502206531332745,5.365751512331317,22.0,1.0
29,content_ea3937e83228ebf2,0.8286677582762643,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2332.0,15.0,0.6432246998284734,0.7502206531332745,6.962264150943396,24.0,1.0
30,content_a23309f704c98e59,0.824565551663162,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,35.0,4.0,11.428571428571429,33.333333333333336,5.457142857142857,8.0,0.0
31,content_06e4f38501a37d60,0.8229197239495678,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2207.0,13.0,0.5890348889895786,0.7502206531332745,6.9777979157227,22.0,2.0
32,content_607dd00aae31d7c4,0.8224598427692749,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,139.0,1.0,0.7194244604316546,0.7502206531332745,5.9496402877697845,2.0,0.0
33,content_8fb8ec21db7a238c,0.8182192750780427,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,136.0,1.0,0.7352941176470589,0.7502206531332745,8.213235294117647,3.0,0.0
34,content_f313077f8a33236c,0.8157282013060319,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,10529.0,68.0,0.6458353119954412,0.7502206531332745,5.0924114350840535,72.0,2.0
35,content_e22e8f76c8694e9a,0.8140292812002999,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,1250.0,9.0,0.72,0.7502206531332745,5.7528,16.0,0.0
36,content_d51c6315f9c34ab0,0.8124937024958065,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,32.0,2.0,6.25,7.536764705882353,26.8125,3.0,0.0
37,content_204928f1e33d968a,0.8124308527927959,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,1194.0,10.0,0.8375209380234506,33.333333333333336,5.7370184254606365,18.0,0.0
38,content_7d8c5d6c5fae7bd4,0.8119535672817454,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,24.0,2.0,8.333333333333334,10.611735330836456,42.208333333333336,4.0,0.0
39,content_ed1bd5af6c187f6f,0.8119062244841447,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,1264.0,18.0,1.4240506329113924,7.536764705882353,24.371835443037973,39.0,1.0
40,content_16949d8f63c6f458,0.8118234401152378,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,78.0,2.0,2.5641025641025643,7.142857142857143,11.102564102564102,9.0,1.0
41,content_639917ff712c8f50,0.8117753264990025,CTR_BELOW_POSITION_PEERS,SERP_REVIEW,Sufficient search exposure for human review of search intent and SERP presentation.,2301.0,13.0,0.5649717514124294,0.7502206531332745,6.399391568883094,32.0,1.0
42,content_d359e26e27260345,0.8082645224744295,CTR_BELOW_POSITION_PEERS,MONITOR,Limited search exposure; gather more evidence before intervention.,19.0,3.0,15.789473684210526,33.333333333333336,9.526315789473683,7.0,1.0
